city,region,neighbourhood,latitude,longitude,DSP,Address
Sydney,CBD,The Rocks,-33.8593464,151.2082442,1,"41-43 ARGYLE STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8587024,151.2078657,1,"18 ARGYLE STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8587025,151.2078562,1,"12-40 ARGYLE STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8592815,151.2081896,1,"39-43 ARGYLE STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8593084,151.2083673,1,"SHOP 3, 45 ARGYLE STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8593996,151.2077398,1,"39 ARGYLE STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8593084,151.2083673,1,"SHOP 1, 45 ARGYLE STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8594373,151.2083888,1,"47B ARGYLE STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8593084,151.2083673,1,"SHOP 2, 45 ARGYLE STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8591633,151.2083997,1,"55 ARGYLE STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8593084,151.2083673,1,"45 ARGYLE STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8593464,151.2082442,1,"47A ARGYLE STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8587025,151.2078562,1,"LEVEL 1, 12-16 ARGYLE STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8593464,151.2082442,1,"41 ARGYLE STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8591064,151.2079674,1,"5030 ARGYLE STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8587025,151.2078562,1,"SUITE 123A, 12-16 ARGYLE STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8593464,151.2082442,1,"43 ARGYLE STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8593069,151.2083678,1,"47 ARGYLE STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8587025,151.2078562,1,"12-16 ARGYLE STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8578258,151.2079407,1,"42 CUMBERLAND STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8620551,151.2059838,1,"184A CUMBERLAND STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8583157,151.2076909,1,"UNIT 15, 86 CUMBERLAND STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8578258,151.2079407,1,"SUITE 63, 44 CUMBERLAND STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8583157,151.2076909,1,"UNIT 27, 86 CUMBERLAND STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8578258,151.2079407,1,"SUITE 5, 38 CUMBERLAND STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8578258,151.2079407,1,"LEVEL 7, 44 CUMBERLAND STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8578258,151.2079407,1,"SUITE 11, 44 CUMBERLAND STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8582166,151.2075892,1,"SUITE 4A, 88 CUMBERLAND STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8578258,151.2079407,1,"SUITE 102, 44 CUMBERLAND STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8583157,151.2076909,1,"UNIT 18, 86 CUMBERLAND STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8578258,151.2079407,1,"SUITE 5, 36 CUMBERLAND STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8578258,151.2079407,1,"LEVEL 4, 36 CUMBERLAND STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8578258,151.2079407,1,"SUITE 53, 44 CUMBERLAND STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8578258,151.2079407,1,"SUITE 71, 44 CUMBERLAND STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8582166,151.2075892,1,"SUITE 22, 88 CUMBERLAND STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8582166,151.2075892,1,"SUITE 12, 88 CUMBERLAND STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8578258,151.2079407,1,"SUITE 55, 44 CUMBERLAND STREET, The Rocks, NSW"
Sydney,CBD,The Rocks,-33.8603934,151.206851,1,"124 CUMBERLAND STREET, The Rocks, NSW"
